"","h","length","coverage","Error"
"1",0.05,2.30710705190133,0.74,0.21
"2",0.1,1.63179103895649,0.773333333333333,0.176666666666667
"3",0.15,1.2958461963547,0.813333333333333,0.136666666666667
"4",0.2,1.13495453742771,0.84,0.11
"5",0.25,0.980390424989043,0.8,0.15
"6",0.3,0.872696158615291,0.866666666666667,0.0833333333333333
"7",0.35,0.823918172357831,0.806666666666667,0.143333333333333
"8",0.4,0.734297633135132,0.606666666666667,0.343333333333333
"9",0.45,0.697917197397425,0.513333333333333,0.436666666666667
"10",0.5,0.654541640374919,0.346666666666667,0.603333333333333
"11",0.55,0.604756807462738,0.173333333333333,0.776666666666667
"12",0.6,0.584311278290758,0.06,0.89
"13",0.65,0.542464689490903,0.02,0.93
"14",0.7,0.524776488337762,0.00666666666666667,0.943333333333333
"15",0.75,0.509999718460616,0,0.95
"16",0.8,0.49217814348494,0,0.95
"17",0.85,0.47354175551928,0,0.95
"18",0.9,0.457800335354378,0,0.95
"19",0.95,0.443073419786569,0,0.95
"20",1,0.432543768170945,0,0.95
